Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,21400.000000,21600.000000,21300.000000,21600.000000,17590.775391,13151350
2012-01-03,21860.000000,22100.000000,21840.000000,22100.000000,17997.970703,16927750
2012-01-04,22100.000000,22200.000000,21500.000000,21600.000000,17590.775391,17103700
2012-01-05,21460.000000,21580.000000,21100.000000,21100.000000,17183.576172,17298400
2012-01-06,21120.000000,21320.000000,20600.000000,20800.000000,16939.265625,18816250
2012-01-09,20800.000000,20820.000000,20300.000000,20320.000000,16548.363281,19283000
2012-01-10,20420.000000,20720.000000,20420.000000,20520.000000,16711.238281,20414800
2012-01-11,20340.000000,20480.000000,20280.000000,20420.000000,16629.796875,19110150
2012-01-12,20320.000000,20580.000000,20220.000000,20560.000000,16743.808594,18511000
2012-01-13,20560.000000,21000.000000,20520.000000,20920.000000,17036.992188,14630750
2012-01-16,20800.000000,20800.000000,20400.000000,20600.000000,16776.392578,11614950
2012-01-17,20820.000000,20960.000000,20480.000000,20720.000000,16874.115234,17084400
2012-01-18,21020.000000,21040.000000,20440.000000,20600.000000,16776.392578,15359650
2012-01-19,20760.000000,21440.000000,20740.000000,21440.000000,17460.472656,22385800
2012-01-20,21800.000000,22100.000000,21520.000000,22100.000000,17997.970703,25550800
2012-01-25,21840.000000,22500.000000,21840.000000,22280.000000,18144.554688,22751300
2012-01-26,22320.000000,22420.000000,21880.000000,22260.000000,18128.277344,17655150
2012-01-27,22400.000000,22500.000000,22220.000000,22500.000000,18323.720703,12741200
2012-01-30,22580.000000,22600.000000,22180.000000,22300.000000,18160.847656,16354450
2012-01-31,22100.000000,22400.000000,21780.000000,22140.000000,18030.542969,21731350
2012-02-01,22140.000000,22140.000000,21560.000000,21580.000000,17574.486328,22849650
2012-02-02,21720.000000,22080.000000,21360.000000,21600.000000,17590.775391,22402650
2012-02-03,21420.000000,21680.000000,21120.000000,21320.000000,17362.748047,17801400
2012-02-06,21680.000000,21820.000000,21320.000000,21480.000000,17493.052734,15837500
2012-02-07,21540.000000,21920.000000,21460.000000,21860.000000,17802.515625,11921950
2012-02-08,21980.000000,22000.000000,21680.000000,21840.000000,17786.228516,11809400
2012-02-09,21740.000000,21800.000000,21200.000000,21680.000000,17655.925781,24005850
2012-02-10,21680.000000,21680.000000,21220.000000,21240.000000,17297.599609,18579100
2012-02-13,21380.000000,21780.000000,21340.000000,21660.000000,17639.638672,16017250
2012-02-14,21680.000000,21780.000000,21480.000000,21600.000000,17590.775391,12317400
2012-02-15,21960.000000,22760.000000,21840.000000,22700.000000,18486.601563,28522350
2012-02-16,22600.000000,22800.000000,22420.000000,22700.000000,18486.601563,15411800
